original_instruction,best_instruction,initial_prob,final_prob,fitness,rewrite_status
什么是修辞手法？常见的修辞手法有哪些（至少列举8种）？,修辞手法是什么？请列举至少8种常见的修辞手法。,,,,llm_ok
请解释人口老龄化的社会影响及应对策略,分析人口老龄化的社会影响并提出应对策略。,,,,llm_ok
请简述中国汉语拼音方案的作用及主要内容,简述中国汉语拼音方案的功能和核心内容。,,,,llm_ok
请简述半导体技术的重要性及发展趋势,简述半导体技术的关键作用及未来发展方向。,,,,llm_ok
什么是5G技术？它的核心优势有哪些？,什么是5G技术及其核心优势？,,,,llm_ok
什么是预制菜行业？预制菜行业的发展优势与食品安全隐患有哪些？,预制菜行业是什么，其发展优势及食品安全隐患有哪些？,,,,llm_ok
世界上最长的三条河流分别是哪些？它们流经的主要国家有哪些？,列举世界上最长的三条河流及其流经的主要国家。,,,,llm_ok
什么是有氧运动？常见的有氧运动项目有哪些？,什么是有氧运动及其常见项目有哪些？,,,,llm_ok
请简述人工智能在社会治理中的应用及伦理风险,简述人工智能在社会治理中的应用及其伦理风险。,,,,llm_ok
世界上主要的气候类型有哪些？请举例说明不同气候类型的分布区域,请说明世界主要气候类型及其分布区域并举例。,,,,llm_ok
请简述信息安全等级保护的定义及等级划分,请概述信息安全等级保护的定义和等级分类。,,,,llm_ok
什么是语体？常见的语体类型及应用场景有哪些？,语体是什么？有哪些常见类型及其应用场景？,,,,llm_ok
什么是尊重隐私的伦理原则？在网络时代如何践行这一原则？,什么是隐私伦理原则，如何在网络时代实践这一原则？,,,,llm_ok
什么是编程语言？常见的编程语言及应用场景有哪些？,什么是编程语言？有哪些常见的编程语言及其应用场景？,,,,llm_ok
请解释辛亥革命的历史背景及历史意义,请说明辛亥革命的背景和意义。,,,,llm_ok
请简述汉字的演变历程（从甲骨文到楷书）,简述汉字从甲骨文到楷书的演变过程。,,,,llm_ok
请简述急救中的心肺复苏（CPR）的操作步骤,请简要说明心肺复苏（CPR）的具体操作步骤。,,,,llm_ok
什么是肥胖症？肥胖症的危害及科学减重的方法有哪些？,肥胖症是什么？它的危害及科学减重的方法有哪些？,,,,llm_ok
请解释直播带货的行业规范及消费者权益保护要点,请说明直播带货的行业规则和消费者权益保护的关键内容。,,,,llm_ok
请简述汉语的造字法（六书）及每种造字法的特点,简述汉语六书造字法及其各自特点。,,,,llm_ok
《中华人民共和国民法典》的施行时间是什么时候？其核心立法目的是什么？,《中华人民共和国民法典》何时施行，其核心立法目的是什么？,,,,llm_ok
什么是逻辑分析能力？提升逻辑分析能力的主要途径有哪些？,什么是逻辑分析能力？如何有效提升逻辑分析能力？,,,,llm_ok
请简述节能减排的意义及个人可采取的节能减排措施,简述节能减排的重要性及个人可采取的具体措施。,,,,llm_ok
请简述中国古代的科技成就（除四大发明外，至少列举5项）,简述中国古代除四大发明外的至少五项科技成就。,,,,llm_ok
请解释冷战的定义及冷战的主要阶段,请说明冷战的定义以及其主要阶段。,,,,llm_ok
请解释教学评价的定义及主要评价方式,请说明教学评价的含义及其主要方法。,,,,llm_ok
什么是专利权？授予专利权的发明创造需具备哪些条件？,专利权是什么？发明创造需满足哪些条件才能获得专利权？,,,,llm_ok
请解释艺术鉴赏的过程及核心方法,请说明艺术鉴赏的步骤和关键方法。,,,,llm_ok
什么是债券？债券与股票的主要区别是什么？,债券是什么？它与股票的主要区别是什么？,,,,llm_ok
请解释机器学习的定义及主要算法类型,请说明机器学习的定义以及常见算法类型。,,,,llm_ok
什么是电子商务？电子商务的主要模式有哪些（B2B、B2C、C2C等）？,电子商务是什么？其主要模式包括哪些（如B2B、B2C、C2C等）？,,,,llm_ok
请简述世界反法西斯战争的主要阶段及重要战役,概述世界反法西斯战争的关键阶段和重要战役。,,,,llm_ok
请简述中国近代史的开端及标志性事件的历史意义,概述中国近代史的起点及其标志性事件的历史意义。,,,,llm_ok
什么是家庭应急管理？家庭应准备哪些应急物资及应急预案？,家庭应急管理是什么？需要准备哪些应急物资和预案？,,,,llm_ok
什么是电影艺术？电影的主要类型及构成要素有哪些？,电影艺术是什么？其主要类型和构成要素有哪些？,,,,llm_ok
请解释糖尿病的分类及主要治疗方法,请说明糖尿病的类型及其主要治疗方式。,,,,llm_ok
请解释成语的来源及特点,说明成语的出处和特征。,,,,llm_ok
《中华人民共和国劳动合同法》中，试用期的期限与劳动合同期限的对应关系是什么？,《劳动合同法》中，试用期时长如何与劳动合同期限对应？,,,,llm_ok
请解释教育公平的内涵及实现教育公平的主要措施,请阐述教育公平的意义及其实现的关键方法。,,,,llm_ok
什么是食物中毒的应急处理步骤？如何判断食物中毒的类型？,如何应急处理食物中毒并判断其类型？,,,,llm_ok
什么是体操运动？体操运动的主要项目及评分标准有哪些？,体操运动是什么？其主要项目和评分标准有哪些？,,,,llm_ok
请简述孕期保健的核心内容及注意事项,简述孕期保健的重点内容和需注意的事项。,,,,llm_ok
请分析公平正义在社会分配中的伦理要求,请分析社会分配中公平正义的伦理原则。,,,,llm_ok
什么是复利？复利在理财中的作用是什么？,复利是什么及其在理财中的作用？,,,,llm_ok
请解释“板块构造学说”的核心观点及主要板块名称,请说明“板块构造学说”的核心观点和主要板块名称。,,,,llm_ok
什么是抗生素？它的主要作用机制是什么？使用时需注意哪些事项？,抗生素是什么，其主要作用机制是什么，使用时需要注意哪些事项？,,,,llm_ok
什么是广场舞？广场舞的特点及开展时的注意事项有哪些？,广场舞是什么，其特点及开展时需注意哪些事项？,,,,llm_ok
网络交流中应遵循哪些伦理规范？如何避免网络言语暴力？,网络交流中应遵守哪些伦理原则，并如何防止网络语言暴力？,,,,llm_ok
请解释摄影艺术的核心内涵及主要拍摄技巧,请阐述摄影艺术的核心理念和关键拍摄技巧。,,,,llm_ok
请解释突发停电的应急处置方法及居家应急准备要点,请说明突发停电的应急处理措施和居家应急准备的关键要点。,,,,llm_ok
请简述人工智能伦理的核心问题及应对措施,概述人工智能伦理的主要问题及解决方法。,,,,llm_ok
什么是瑜伽？瑜伽的主要功效及练习注意事项有哪些？,瑜伽是什么，其主要功效及练习时需注意的事项有哪些？,,,,llm_ok
请解释运动营养的重要性及不同运动类型的营养需求,说明运动营养的重要性以及不同运动类型的营养需求。,,,,llm_ok
世界上最大的海洋和最小的海洋分别是哪个？,最大的海洋和最小的海洋分别是什么？,,,,llm_ok
请简述中国传统戏曲的主要剧种及艺术特点,简要说明中国传统戏曲的主要类型及其艺术特色。,,,,llm_ok
什么是登山运动？登山运动的安全注意事项有哪些？,什么是登山运动及其安全注意事项有哪些？,,,,llm_ok
什么是柔性就业？柔性就业对劳动者权益保障的要求有哪些？,什么是柔性就业，及其对劳动者权益保障的要求是什么？,,,,llm_ok
什么是pH值？pH值为7、小于7、大于7分别代表溶液的什么性质？,什么是pH值？pH值为7、小于7、大于7分别表示溶液的什么特性？,,,,llm_ok
什么是批判性思维？如何在教学中培养学生的批判性思维？,什么是批判性思维，如何在教学中培养学生的这一能力？,,,,llm_ok
什么是肖像权？未经同意使用他人肖像可能承担哪些法律责任？,肖像权是什么？未经许可使用他人肖像会面临哪些法律后果？,,,,llm_ok
请解释“重力”的概念及重力加速度的近似数值（地球表面）,请说明重力的定义以及地球表面重力加速度的近似值。,,,,llm_ok
什么是发散思维？发散思维的培养方法及应用价值有哪些？,什么是发散思维，如何培养以及其应用价值是什么？,,,,llm_ok
什么是背包客旅行？背包客旅行的必备物品有哪些？,背包客旅行是什么？需要准备哪些必备物品？,,,,llm_ok
世界四大文明古国分别是哪些？它们对应的代表性文明成果有哪些？,列举世界四大文明古国及其代表性文明成果。,,,,llm_ok
请简述中国传统园林的艺术特点及主要类型,简述中国传统园林的艺术特征和主要类型。,,,,llm_ok
什么是家庭理财？家庭理财的核心原则及规划方法有哪些？,家庭理财是什么，其核心原则和规划方法有哪些？,,,,llm_ok
请说明科研伦理的核心准则及在科技创新中的重要性,请阐述科研伦理的核心原则及其在科技创新中的重要作用。,,,,llm_ok
什么是核心课程？核心课程与选修课程的关系是什么？,核心课程是什么？它与选修课程有何关系？,,,,llm_ok
请简述数据备份的重要性及备份策略,简述数据备份的意义及备份方法。,,,,llm_ok
什么是新型城镇化？新型城镇化与传统城镇化的区别是什么？,新型城镇化是什么？它与传统城镇化有何不同？,,,,llm_ok
请解释正当防卫的构成要件及防卫限度的认定标准,请说明正当防卫的构成条件及防卫限度的判断标准。,,,,llm_ok
请简述心理健康问题的社会关注度提升原因及应对体系构建,简述心理健康问题社会关注度提升的原因及应对体系的构建方法。,,,,llm_ok
请解释突发公共卫生事件的个人防护措施及配合要求,请说明个人在突发公共卫生事件中的防护措施及配合要求。,,,,llm_ok
请简述民事行为能力的分类及对应的年龄界限和行为效力,简述民事行为能力的类别、年龄界限及其行为效力。,,,,llm_ok
世界上面积最大的五个国家分别是哪些？请按面积从大到小排列,按面积从大到小列出世界上面积最大的五个国家。,,,,llm_ok
请简述问题解决的逻辑流程及关键环节,简要说明解决问题的逻辑步骤和核心要点。,,,,llm_ok
什么是个性化教学？实现个性化教学的技术支撑有哪些？,什么是个性化教学及其实现所需的技术支持有哪些？,,,,llm_ok
《中华人民共和国未成年人保护法》中，对未成年人的家庭保护、学校保护、社会保护分别有哪些核心要求？,《中华人民共和国未成年人保护法》对未成年人的家庭、学校和社会保护分别有哪些主要要求？,,,,llm_ok
什么是商业模式创新？常见的商业模式创新类型有哪些？,商业模式创新是什么？有哪些常见类型？,,,,llm_ok
请简述农药中毒的应急处理步骤及预防措施,简述农药中毒的急救处理方法和预防措施。,,,,llm_ok
什么是劳动教育？劳动教育的核心内容有哪些？,劳动教育是什么，其核心内容包括哪些？,,,,llm_ok
什么是在线教育？在线教育的优势与挑战分别有哪些？,什么是在线教育？在线教育有哪些优势和挑战？,,,,llm_ok
请解释股票的定义及股票投资的主要风险因素,请说明股票的含义以及股票投资的主要风险因素。,,,,llm_ok
请简述职场沟通的核心原则及重要性,简述职场沟通的核心原则和其重要性。,,,,llm_ok
请简述家庭理财的核心原则及规划步骤,简述家庭理财的基本原则和规划流程。,,,,llm_ok
请简述眼科常见疾病（如近视、结膜炎）的预防及护理方法,简述如何预防和护理常见眼科疾病，如近视和结膜炎。,,,,llm_ok
什么是研学旅行？研学旅行的核心目标及组织要求有哪些？,研学旅行是什么，其核心目标和组织要求有哪些？,,,,llm_ok
什么是职场指令传达？清晰传达指令的技巧有哪些？,职场指令传达是什么？有哪些清晰传达指令的技巧？,,,,llm_ok
请解释个人所得税的计算方法及常见的专项附加扣除项目,请说明个人所得税的计算方式以及常见的专项附加扣除项目。,,,,llm_ok
请解释家庭暴力的危害及应对措施,请说明家庭暴力的影响及解决方法。,,,,llm_ok
请解释可持续发展的定义及三大核心支柱,请说明可持续发展的定义及其三大核心支柱。,,,,llm_ok
什么是辩证思维？辩证思维的核心方法有哪些？,什么是辩证思维及其核心方法有哪些？,,,,llm_ok
什么是儿童常见的营养缺乏症？如何预防？,儿童常见的营养缺乏症有哪些？如何进行预防？,,,,llm_ok
什么是高铁旅游？高铁旅游的特点及热门路线有哪些？,什么是高铁旅游，其特点和热门路线是什么？,,,,llm_ok
请解释“善意原则”在伦理判断中的作用及应用场景,请说明“善意原则”在伦理判断中的作用及适用场景。,,,,llm_ok
请简述西方绘画的发展历程及主要艺术流派,简要概述西方绘画的演变过程及其主要艺术流派。,,,,llm_ok
请简述数字经济的核心内涵及发展趋势,概述数字经济的核心内容及其发展趋势。,,,,llm_ok
请简述冻伤的预防及急救方法？不同部位冻伤的处理要点有哪些？,请概述冻伤的预防、急救方法及不同部位处理要点。,,,,llm_ok
请解释跨部门沟通的难点及解决策略,请说明跨部门沟通的挑战及应对方法。,,,,llm_ok
请解释夫妻关系的核心经营原则,请说明维系夫妻关系的核心原则。,,,,llm_ok
请简述运动后拉伸的重要性及主要拉伸部位,请说明运动后拉伸的意义及重点拉伸的部位。,,,,llm_ok
请解释教师专业发展的核心内容及提升途径,请说明教师专业发展的关键内容和提升方法。,,,,llm_ok
请简述奥林匹克运动的起源及奥林匹克精神的内涵,简述奥林匹克运动的起源和奥林匹克精神的意义。,,,,llm_ok
什么是骨质疏松症？骨质疏松症的高发人群及预防措施有哪些？,骨质疏松症是什么？其高发人群及预防方法有哪些？,,,,llm_ok
请解释纳米技术的定义及在材料领域的应用,请说明纳米技术的定义以及其在材料领域的应用。,,,,llm_ok
请简述企业核心竞争力的定义及构成要素,简述企业核心竞争力的定义和组成要素。,,,,llm_ok
什么是邮轮旅游？邮轮旅游的注意事项及优势有哪些？,什么是邮轮旅游？邮轮旅游有哪些优势及需要注意的事项？,,,,llm_ok
请解释突发疾病的现场急救原则及常见突发疾病的应急处理方法,请说明突发疾病现场急救原则及常见疾病的应急处理方法。,,,,llm_ok
什么是物联网技术？其核心组成部分有哪些？,物联网技术是什么，其核心组成部分包括哪些？,,,,llm_ok
请解释启蒙运动的核心思想及代表人物,说明启蒙运动的主要思想和重要人物。,,,,llm_ok
什么是跨境电子商务？跨境电商与传统外贸的区别是什么？,什么是跨境电商？它与传统外贸有何不同？,,,,llm_ok
什么是连锁经营？连锁经营的主要模式有哪些？,连锁经营是什么？其主要模式有哪些？,,,,llm_ok
什么是书法艺术？中国书法的主要字体有哪些？,什么是书法艺术，中国书法包含哪些主要字体？,,,,llm_ok
什么是古希腊文明？古希腊文明的主要成就及影响是什么？,古希腊文明是什么，其主要成就和影响有哪些？,,,,llm_ok
请简述人工智能的定义及主要应用领域,简要说明人工智能的定义和主要应用领域。,,,,llm_ok
什么是动物咬伤的应急处理流程？不同动物咬伤的特殊注意事项有哪些？,动物咬伤的应急处理流程是什么？不同动物咬伤有哪些特殊注意事项？,,,,llm_ok
请解释自驾游的注意事项及路线规划要点,请说明自驾游的注意事项和路线规划的关键点。,,,,llm_ok
请解释足球运动的基本规则（包括场地、人数、得分方式等）,请概述足球运动的基本规则，包括场地要求、参赛人数及得分方式。,,,,llm_ok
请简述心理健康教育在中小学教育中的重要性及实施途径,简述中小学心理健康教育的重要性及实施方法。,,,,llm_ok
请简述区块链的定义及核心特征,简要说明区块链的定义和主要特点。,,,,llm_ok
什么是操作系统？常见的操作系统有哪些？,什么是操作系统及常见类型有哪些？,,,,llm_ok
什么是马拉松运动？参加马拉松的赛前准备及赛后恢复方法有哪些？,马拉松运动是什么？如何进行赛前准备和赛后恢复？,,,,llm_ok
请解释签证与护照的区别及办理流程,请说明签证和护照的区别以及办理的具体流程。,,,,llm_ok
什么是亲子关系？建立良好亲子关系的方法有哪些？,什么是亲子关系以及如何建立良好的亲子关系？,,,,llm_ok
请解释文艺复兴运动的核心思想及历史影响,请说明文艺复兴运动的主要思想及其历史影响。,,,,llm_ok
什么是民宿？民宿与酒店的区别及选择民宿的注意事项有哪些？,民宿是什么？民宿与酒店有何区别，选择民宿需注意哪些事项？,,,,llm_ok
什么是地理大发现？地理大发现的主要事件及影响是什么？,地理大发现是什么，其主要事件及影响有哪些？,,,,llm_ok
什么是客户沟通？与客户沟通的技巧及服务意识培养方法有哪些？,客户沟通是什么？如何掌握与客户沟通的技巧并培养服务意识？,,,,llm_ok
什么是垃圾分类？垃圾分类的意义及主要分类标准是什么？,什么是垃圾分类，其意义及主要分类标准是什么？,,,,llm_ok
什么是合同的法定解除情形？请列举至少3种,合同的法定解除情形有哪些？请至少举例3种。,,,,llm_ok
什么是信托产品？信托产品的特点及风险有哪些？,什么是信托产品，其特点和风险是什么？,,,,llm_ok
什么是抑郁症？抑郁症的常见症状及应对措施有哪些？,抑郁症是什么，其常见症状及应对方法有哪些？,,,,llm_ok
请简述旅游旺季与淡季的区别及错峰旅游的优势,简述旅游旺季与淡季的差异以及错峰出行的好处。,,,,llm_ok
什么是中国古代的四大书院？它们的历史作用是什么？,中国古代四大书院是什么及其历史作用是什么？,,,,llm_ok
请解释个人信息保护法的核心条款及对企业的合规要求,请说明个人信息保护法的主要条款及其对企业合规的要求。,,,,llm_ok
什么是绿色消费？绿色消费的主要特征及践行方式有哪些？,绿色消费是什么，其主要特征和实践方式有哪些？,,,,llm_ok
如何理解“己所不欲，勿施于人”的伦理内涵及现实意义？,怎样理解“己所不欲，勿施于人”的道德意义和实际价值？,,,,llm_ok
请简述学前教育的重要性及学前教育的核心目标,简述学前教育的重要性和核心目标。,,,,llm_ok
什么是人工智能的机器学习？机器学习的主要算法类型有哪些？,人工智能中的机器学习是什么？其主要算法类型有哪些？,,,,llm_ok
什么是数字鸿沟？弥合数字鸿沟的主要措施有哪些？,什么是数字鸿沟？如何弥合数字鸿沟？,,,,llm_ok
请简述地球自转和公转的方向及产生的地理现象,简述地球自转和公转的方向以及引发的地理现象。,,,,llm_ok
请简述出境旅游的准备工作及海关规定,简要说明出境旅游的准备事项和海关规定。,,,,llm_ok
什么是汉语的量词？量词的分类及用法有哪些？,汉语中的量词是什么，它有哪些分类及使用方法？,,,,llm_ok
什么是外来词？汉语中外来词的主要吸收方式有哪些？,外来词是什么？汉语吸收外来词的主要方式有哪些？,,,,llm_ok
请解释市场调研的定义及主要方法,请说明市场调研的含义和常用方法。,,,,llm_ok
请解释供应链管理的核心内涵及重要性,请说明供应链管理的核心概念及其重要性。,,,,llm_ok
请简述个人征信的重要性及维护个人征信的方法,简述个人信用的重要性及维护方法。,,,,llm_ok
请简述职场中的赞美技巧及积极作用,简述职场赞美的技巧及其积极影响。,,,,llm_ok
什么是黄金投资？黄金投资的主要方式及风险有哪些？,黄金投资是什么？其主要方式及风险有哪些？,,,,llm_ok
请简述三段论的推理规则及常见错误,简述三段论的推理规则和常见错误。,,,,llm_ok
请简述人类消化系统的主要组成部分及各部分的功能,简要说明人类消化系统的主要组成及其功能。,,,,llm_ok
什么是团队沟通？团队沟通的有效方式有哪些？,团队沟通是什么？有哪些有效的团队沟通方式？,,,,llm_ok
请简述因材施教原则的内涵及在教学中的应用方法,请概述因材施教原则的意义及其教学应用方法。,,,,llm_ok
什么是量子计算？它与传统计算的主要区别是什么？,量子计算是什么？它与传统计算有何主要区别？,,,,llm_ok
请简述商标权的取得方式及保护期限,简述商标权的获得途径和保护期限。,,,,llm_ok
请简述搜索引擎的工作原理及核心技术,简要说明搜索引擎的运行机制和关键技术。,,,,llm_ok
什么是企业战略管理？企业战略管理的主要步骤有哪些？,企业战略管理是什么？其主要步骤包括哪些？,,,,llm_ok
